example_id                                                         | status  | run_time        |
./spec/models/data_import_spec.rb[1:1:5:1]                         | passed  | 0.00427 seconds |
./spec/models/data_import_spec.rb[1:1:6:1]                         | passed  | 0.00361 seconds |
./spec/models/data_import_spec.rb[1:1:6:2]                         | passed  | 0.005 seconds   |
./spec/models/data_import_spec.rb[1:1:6:3]                         | passed  | 0.00231 seconds |
./spec/models/data_import_spec.rb[1:1:7:1]                         | passed  | 0.00295 seconds |
./spec/models/data_import_spec.rb[1:1:7:2]                         | passed  | 0.00596 seconds |
./spec/models/data_import_spec.rb[1:1:7:3]                         | passed  | 0.0024 seconds  |
./spec/models/data_import_spec.rb[1:1:8:1]                         | passed  | 0.00298 seconds |
./spec/models/data_import_spec.rb[1:1:8:2]                         | passed  | 0.005 seconds   |
./spec/models/data_import_spec.rb[1:1:8:3]                         | passed  | 0.0029 seconds  |
./spec/models/degree_days_calculator_spec.rb[1:1]                  | passed  | 0.00062 seconds |
./spec/models/degree_days_calculator_spec.rb[1:2]                  | passed  | 0.00063 seconds |
./spec/models/degree_days_calculator_spec.rb[1:3]                  | passed  | 0.00102 seconds |
./spec/models/degree_days_calculator_spec.rb[1:4]                  | passed  | 0.00093 seconds |
./spec/models/degree_days_calculator_spec.rb[1:5]                  | passed  | 0.00085 seconds |
./spec/models/degree_days_calculator_spec.rb[1:6:1]                | passed  | 0.00105 seconds |
./spec/models/degree_days_calculator_spec.rb[1:6:2]                | passed  | 0.00129 seconds |
./spec/models/degree_days_calculator_spec.rb[1:6:3]                | passed  | 0.00106 seconds |
./spec/models/degree_days_calculator_spec.rb[1:6:4]                | passed  | 0.00417 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:1]           | passed  | 0.00069 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:2]           | passed  | 0.00065 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:3]           | passed  | 0.00065 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:4]           | passed  | 0.00076 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:5]           | passed  | 0.00076 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:6]           | passed  | 0.0007 seconds  |
./spec/models/evapotranspiration_calculator_spec.rb[1:7]           | passed  | 0.00094 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:8]           | passed  | 0.00085 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:9]           | passed  | 0.0006 seconds  |
./spec/models/evapotranspiration_calculator_spec.rb[1:10]          | passed  | 0.00065 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:11]          | passed  | 0.00062 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:12]          | passed  | 0.00084 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:13]          | passed  | 0.0008 seconds  |
./spec/models/evapotranspiration_calculator_spec.rb[1:14]          | passed  | 0.0007 seconds  |
./spec/models/evapotranspiration_calculator_spec.rb[1:15]          | passed  | 0.00069 seconds |
./spec/models/evapotranspiration_calculator_spec.rb[1:16:1]        | passed  | 0.00086 seconds |
./spec/models/evapotranspiration_importer_spec.rb[1:1:1:1]         | passed  | 0.51337 seconds |
./spec/models/evapotranspiration_importer_spec.rb[1:1:1:2]         | passed  | 0.64416 seconds |
./spec/models/evapotranspiration_importer_spec.rb[1:1:2:1]         | passed  | 0.00836 seconds |
./spec/models/evapotranspiration_importer_spec.rb[1:2:1]           | passed  | 0.00584 seconds |
./spec/models/evapotranspiration_spec.rb[1:1:1:1]                  | passed  | 0.00806 seconds |
./spec/models/evapotranspiration_spec.rb[1:1:2:1]                  | passed  | 0.00227 seconds |
./spec/models/evapotranspiration_spec.rb[1:2:1:1]                  | passed  | 0.00406 seconds |
./spec/models/evapotranspiration_spec.rb[1:2:2:1]                  | passed  | 0.00391 seconds |
./spec/models/evapotranspiration_spec.rb[1:2:3:1]                  | passed  | 0.00248 seconds |
./spec/models/evapotranspiration_spec.rb[1:3:1]                    | passed  | 0.00332 seconds |
./spec/models/evapotranspiration_spec.rb[1:4:1]                    | passed  | 0.00164 seconds |
./spec/models/evapotranspiration_spec.rb[1:4:2]                    | passed  | 0.00302 seconds |
./spec/models/evapotranspiration_spec.rb[1:4:3]                    | passed  | 0.0017 seconds  |
./spec/models/insolation_importer_spec.rb[1:1:1]                   | passed  | 0.00152 seconds |
./spec/models/insolation_importer_spec.rb[1:2:1:1]                 | passed  | 0.30497 seconds |
./spec/models/insolation_importer_spec.rb[1:2:1:2]                 | passed  | 0.01568 seconds |
./spec/models/insolation_importer_spec.rb[1:3:1]                   | passed  | 0.00091 seconds |
./spec/models/insolation_importer_spec.rb[1:3:2]                   | passed  | 0.00065 seconds |
./spec/models/insolation_spec.rb[1:1:1]                            | passed  | 0.00153 seconds |
